levels(as.factor(full_data$species))

Antennatus strigatus
Anteos clorinde
Anteros carausius
Anthanassa texana
Anthanassa texana texana
Anthanassa tulcis
Anthidiellum notatum
Antho (Plocamia) lambei
Antho lambei
Anthocephalum currani
Anthocephalum lukei
Anthocephalum michaeli
Anthocyrtidium ophirense
Anthocyrtidium ophirensis
Anthocyrtidium zanguebaricum
Anthocyrtidium zanquebaricum
Anthophora (Heliophila) curta
Anthophora curta
Anthopleura dowii
Anthopleura mariscali
Anthopleura xanthogrammica
Anthoptilum grandiflorum
Anthurium schlechtendalii
Anthus rubescens
Antigonon leptopus
Antigonus erosus
Antillesoma antillarum
Antillesoma mexicanum
Antiopella barbarensis
Antipathes dendrochristos
Antipathes galapagensis
Antithamnionella boergesenii
Antithamnionella breviramosa
Antithamnionella spirographidis
Antropora minor
Aonides californiensis
Aonides oxycephala
Aorotrema humboldti
Apantesis proxima
Aphantolana costaricensis
Aphelochaeta elongata
Aphelochaeta glandaria
Aphelochaeta monilaris
Aphelochaeta multifilis
Aphelochaeta phillipsi
Aphelochaeta williamsae
Aphelocoma californica
Aphera tessellata
Aphrodita japonica
Aphrodita refulgida
Apiocardia obovalis
Apion sectator
Apionsoma pectinatum
Apis mellifera
Aplidium arenatum
Aplidium californicum
Aplidium solidum
Aplysia californica
Aplysia hooveri
Aplysia juliana
Aplysia parvula
Aplysia vaccaria
Aplysilla glacialis
Aplysilla sulfurea
Aplysina airapii
Aplysina chiriquiensis
Aplysina clathrata
Aplysina encarnacionae
Aplysina gerardogreeni
Aplysina revillagigedi
Aplysina sinuscaliforniensis
Apocreadium caballeroi
Apogon atricaudus
Apogon binotatus
Apogon clippertonensis
Apogon dovii
Apogon guadalupensis
Apogon pacificus
Apogon parri
Apogon retrosella
Apoprionospio pygmaea
Apterichtus equatorialis
Aptyxis cinereus
Aquila chrysaetos
Aquilaspio peruana
Ara militaris
Arabella iricolor
Arabella pectinata
Arachnocorys umbellifera
Arachnosphaera venustum
Araiofusus araios
Araiofusus colpoicus
Aralichus nobilis
Aramus guarauna
Aratinga canicularis
Aratinga holochlora
Arbacia incisa
Arbacia stellata
Arbaciosa eos
Arca mutabilis
Arca pacifica
Arca tuberculosa
Archaeperidinium minutum
Archierato columbella
Archilochus alexandri
Archilochus colubris
Archisotoma besselsi
Archisotoma litoralis
Architectonica nobilis
